sleeper_player_id,match_method,source_website,week,player_first_name,player_last_name,position,team,projected_points,created_at
12476,automatic,fanduel.com,Week 12,Devin,Neal,RB,NO,6.27,2025-11-20 18:03:39
6806,automatic,fanduel.com,Week 11,J.K.,Dobbins,RB,DEN,6.23,2025-11-20 18:03:39
8111,automatic,fanduel.com,Week 10,Cade,Otton,TE,TB,6.2,2025-11-20 18:03:39
4351,automatic,sleeper.com,Week 10,Tim,Patrick,WR,JAX,6.2,2025-11-20 18:03:39
12490,automatic,sleeper.com,Week 10,Bhayshul,Tuten,RB,JAX,6.2,2025-11-20 18:03:39
5995,automatic,espn.com,Week 10,Justice,Hill,RB,BAL,6.2,2025-11-20 18:03:39
7594,automatic,espn.com,Week 10,Chuba,Hubbard,RB,CAR,6.2,2025-11-20 18:03:39
7600,automatic,espn.com,Week 10,Pat,Freiermuth,TE,PIT,6.2,2025-11-20 18:03:39
BAL,dst_team_match,espn.com,Week 10,Ravens D/ST,Defense,DST,BAL,6.2,2025-11-20 18:03:39
3269,automatic,fantasypros.com,Week 10,Chris,Moore,WR,WAS,6.2,2025-11-20 18:03:39
10955,automatic,fantasypros.com,Week 10,Chad,Ryland,K,ARI,6.2,2025-11-20 18:03:39
PIT,dst_team_match,fantasypros.com,Week 10,Pittsburgh Steelers,Defense,DST,PIT,6.2,2025-11-20 18:03:39
10226,automatic,sleeper.com,Week 11,Andrei,Iosivas,WR,CIN,6.2,2025-11-20 18:03:39
6039,automatic,sleeper.com,Week 11,Ty,Johnson,RB,BUF,6.2,2025-11-20 18:03:39
BAL,dst_team_match,espn.com,Week 11,Ravens D/ST,Defense,DST,BAL,6.2,2025-11-20 18:03:39
PIT,dst_team_match,espn.com,Week 11,Steelers D/ST,Defense,DST,PIT,6.2,2025-11-20 18:03:39
8210,automatic,fantasypros.com,Week 11,Chig,Okonkwo,TE,TEN,6.2,2025-11-20 18:03:39
